session_id,athlete_id,frame_num,sport,hip_angle_l,hip_angle_r,knee_angle_l,knee_angle_r,shoulder_angle_l,shoulder_angle_r,elbow_angle_l,elbow_angle_r,ankle_dorsiflexion_l,ankle_dorsiflexion_r,trunk_lean,spine_deviation,shoulder_hip_sep,head_forward_pos,com_height_norm,estimated_jump_height,limb_symmetry_idx,form_score,phase_label,quality_label,feedback_tag,sequence_id
SES_SNA_ELI_0004,athlete_14,577,snatch,87.73,78.91,94.65,93.47,34.94,42.69,180,168.82,98.65,86.87,18.15,1.28,40.29,3.03,0.44,0,0.916,95.1,descent,elite,Great form! Maintain position.,19
SES_VER_GOO_0001,athlete_52,169,vertical_jump,98.73,100.81,109.13,106.32,67.42,73.42,142.78,110.72,85.44,77.77,17.31,4.13,17.4,-1.83,0.55,44.6,0.866,81.4,flight,good,Extend hips fully.,5
SES_JAV_AVE_0014,athlete_73,1760,javelin,126.05,124.71,165.32,160.16,149.28,143.06,149.63,145.39,80.2,73.6,53.98,2.63,19.34,0.28,0.43,0,0.667,56.8,takeoff,average,Control trunk lean.,58
SES_SPR_AVE_0010,athlete_32,1213,sprint,70.27,75.41,122.07,121.17,88.34,92.49,105.34,119.02,85.35,81.8,27.82,1.97,20.64,0.35,0.51,0,0.776,60.8,descent,average,Control trunk lean.,40
SES_JAV_ELI_0012,athlete_53,1502,javelin,110.66,103.96,136.75,147.22,164.02,171.07,137.23,128.15,82.24,83.6,41.5,0.72,20.53,-0.49,0.53,0,0.739,93.7,setup,elite,Great form! Maintain position.,50
SES_JAV_ELI_0012,athlete_68,1555,javelin,105.67,102.29,145.6,143.59,173.23,166.55,124.13,138.09,89.26,90.61,39.44,2.6,37.36,-1.48,0.52,0,0.766,96.7,flight,elite,Great form! Maintain position.,51
SES_CRI_ELI_0016,athlete_44,1961,cricket_bat,118.72,121.48,140.8,138.69,90.29,84.18,144.99,136.18,97.24,88.29,20.28,0.49,26.81,2.6,0.45,0,0.809,97.6,descent,elite,Great form! Maintain position.,65
SES_VER_ELI_0000,athlete_49,48,vertical_jump,94.53,100.34,86.14,98.4,67.71,58.99,138.55,129.81,87.31,83.09,5.99,4.68,33.72,-0.49,0.5,65.6,0.899,93.9,flight,elite,Elite biomechanics detected.,1
SES_SNA_ELI_0004,athlete_04,509,snatch,89.84,88.18,97.54,99.46,35.78,48.91,178.11,180,89.27,94.97,13.08,1.11,30.16,-2.51,0.54,0,0.939,92.8,landing,elite,Elite biomechanics detected.,16
SES_SPR_POO_0011,athlete_75,1337,sprint,94.62,87.68,147.2,127.83,108.87,104.12,127.14,120.29,99.56,88.85,42.33,5.1,21.29,-1.57,0.41,0,0.659,45.3,descent,poor,Work on symmetry.,44
SES_JAV_ELI_0012,athlete_49,1449,javelin,108.88,106.4,150.36,147.1,168.77,162.93,125.89,129.63,94.56,88.78,32.18,1.47,27.08,1.79,0.39,0,0.767,94.8,descent,elite,Great form! Maintain position.,48
SES_JAV_AVE_0014,athlete_52,1701,javelin,129.84,127.64,164.48,162.65,133.69,144.46,135.87,142.8,75.59,77.39,50.12,0,29.45,0.4,0.41,0,0.672,67.0,takeoff,average,Lower your hips.,56
SES_SNA_ELI_0004,athlete_35,551,snatch,89.09,88.74,98.1,97.0,45.98,36.47,171.8,172.97,92.93,94.9,23.84,3.24,49.53,0.28,0.53,0,0.945,96.0,descent,elite,Elite biomechanics detected.,18
SES_CRI_ELI_0016,athlete_64,2006,cricket_bat,116.95,123.03,139.44,138.98,76.43,89.88,135.62,138.52,84.84,89.99,24.27,2.29,48.83,2.19,0.45,0,0.803,97.9,flight,elite,Hold this form.,66
SES_SNA_ELI_0004,athlete_14,576,snatch,92.62,83.91,89.65,95.42,31.29,43.58,175.0,173.82,93.65,91.87,17.22,1.28,40.29,3.03,0.44,0,0.902,94.7,descent,elite,Great form! Maintain position.,19
SES_JAV_GOO_0013,athlete_32,1661,javelin,121.84,109.75,148.24,149.49,152.72,158.69,147.78,126.0,85.64,79.97,39.86,2.86,21.56,-0.94,0.54,0,0.708,80.9,descent,good,"Good depth, push harder through the heels.",55
SES_CRI_GOO_0017,athlete_65,2147,cricket_bat,131.04,130.86,146.95,145.44,90.48,104.66,156.57,152.33,91.63,88.82,23.72,1.17,24.6,4.25,0.43,0,0.777,82.8,takeoff,good,"Good depth, push harder through the heels.",71
SES_SPR_GOO_0009,athlete_16,1196,sprint,50.88,56.36,96.5,99.72,79.93,88.94,105.52,101.09,82.35,79.5,23.72,0.62,14.63,2.24,0.49,0,0.808,81.9,takeoff,good,"Good depth, push harder through the heels.",39
SES_SNA_ELI_0004,athlete_27,534,snatch,85.53,97.42,103.0,99.61,41.18,40.05,177.84,180,96.49,88.23,20.05,0,22.75,-0.15,0.55,0,0.898,97.1,landing,elite,Hold this form.,17
SES_JAV_ELI_0012,athlete_49,1466,javelin,104.19,107.9,144.16,149.9,170.32,169.06,124.3,128.45,94.35,80.05,32.83,1.47,27.08,1.79,0.39,0,0.757,94.4,flight,elite,Great form! Maintain position.,48
SES_VER_GOO_0001,athlete_52,151,vertical_jump,103.14,101.86,94.35,113.24,77.57,75.62,129.8,153.81,69.27,86.75,16.7,4.13,17.4,-1.83,0.55,44.6,0.816,81.3,setup,good,Extend hips fully.,5
SES_CRI_POO_0019,athlete_62,2344,cricket_bat,164.96,159.08,166.76,166.15,101.22,131.63,179.38,160.59,63.81,78.32,59.86,1.68,42.82,-3.36,0.41,0,0.608,31.9,setup,poor,Work on symmetry.,78
SES_CRI_ELI_0016,athlete_44,1962,cricket_bat,114.38,126.48,145.8,133.69,85.33,87.12,139.99,141.18,92.24,89.88,23.86,0.49,26.81,2.6,0.45,0,0.763,97.1,descent,elite,Great form! Maintain position.,65
SES_SNA_POO_0007,athlete_43,937,snatch,124.38,118.96,145.3,146.41,90.59,69.47,144.93,158.53,59.23,71.62,53.35,3.11,12.22,5.96,0.37,0,0.705,32.4,descent,poor,LOWER HIPS!,31
SES_VER_GOO_0001,athlete_46,137,vertical_jump,103.88,94.28,96.97,107.49,80.52,69.88,123.22,139.54,88.26,80.73,19.0,2.67,21.85,4.22,0.41,47.7,0.82,77.1,takeoff,good,Extend hips fully.,4
SES_SPR_AVE_0010,athlete_67,1288,sprint,68.13,68.09,112.51,112.65,102.01,87.54,112.02,121.33,93.48,82.87,33.8,1.85,28.51,1.34,0.4,0,0.799,64.9,takeoff,average,Lower your hips.,42
SES_JAV_ELI_0012,athlete_39,1480,javelin,107.47,101.89,152.71,142.02,177.96,163.45,124.17,133.86,85.61,82.08,35.27,3.11,36.26,1.08,0.56,0,0.743,94.4,descent,elite,Great form! Maintain position.,49
SES_SPR_AVE_0010,athlete_32,1201,sprint,73.83,71.08,123.16,116.49,73.45,107.2,123.29,119.91,92.72,86.97,26.29,1.97,20.64,0.35,0.51,0,0.773,62.3,setup,average,Control trunk lean.,40
SES_JAV_GOO_0013,athlete_50,1577,javelin,114.51,115.86,155.22,154.06,156.05,163.85,136.34,141.74,89.43,77.19,53.3,2.9,45.79,3.05,0.55,0,0.734,73.5,takeoff,good,"Good depth, push harder through the heels.",52
SES_SNA_GOO_0005,athlete_29,711,snatch,95.55,95.11,100.54,118.38,49.54,49.55,177.33,177.37,83.46,87.7,28.48,5.61,24.9,1.64,0.48,0,0.845,87.4,flight,good,Extend hips fully.,23
SES_JAV_AVE_0014,athlete_52,1704,javelin,130.92,122.64,159.48,157.65,138.69,140.73,150.87,147.8,74.37,75.93,52.15,0,29.45,0.4,0.41,0,0.658,66.3,flight,average,Lower your hips.,56
SES_SNA_ELI_0004,athlete_04,491,snatch,79.26,84.16,109.07,100.78,33.21,44.85,179.12,179.39,83.57,95.28,22.7,1.11,30.16,-2.51,0.54,0,0.909,94.8,descent,elite,Elite biomechanics detected.,16
SES_CRI_POO_0019,athlete_25,2308,cricket_bat,162.79,153.99,169.83,151.64,135.88,127.98,155.83,168.41,83.78,85.06,63.32,4.06,24.64,1.83,0.39,0,0.572,34.2,flight,poor,Critical form deviation.,76
SES_SPR_GOO_0009,athlete_49,1126,sprint,51.06,66.04,110.25,109.0,90.2,80.2,99.58,93.41,73.32,82.63,11.72,1.23,33.46,-2.28,0.42,0,0.759,78.7,descent,good,Extend hips fully.,37
SES_JAV_POO_0015,athlete_47,1865,javelin,146.44,141.51,169.84,174.84,136.06,124.48,163.19,166.41,70.5,78.29,57.09,4.82,22.78,-0.61,0.3,0,0.581,42.9,setup,poor,Critical form deviation.,62
SES_JAV_POO_0015,athlete_28,1831,javelin,148.65,157.75,177.27,167.41,109.04,140.52,169.85,157.79,71.44,63.67,51.17,1.63,30.33,3.74,0.48,0,0.565,30.6,setup,poor,LOWER HIPS!,61
SES_CRI_GOO_0017,athlete_79,2079,cricket_bat,131.02,119.38,154.55,138.31,90.68,102.01,157.31,147.44,86.86,89.84,19.53,1.85,32.24,0.43,0.5,0,0.722,75.9,descent,good,"Good depth, push harder through the heels.",69
SES_SNA_ELI_0004,athlete_27,519,snatch,83.22,86.47,106.76,92.44,45.01,40.55,168.68,170.55,85.51,91.98,21.98,0,22.75,-0.15,0.55,0,0.898,96.2,descent,elite,Hold this form.,17
SES_VER_AVE_0002,athlete_29,313,vertical_jump,120.91,122.15,132.69,122.29,77.28,85.61,143.25,143.69,68.84,76.82,21.62,0.52,14.14,-2.09,0.44,42.1,0.773,69.7,takeoff,average,Activate core more.,10
SES_VER_ELI_0000,athlete_79,103,vertical_jump,93.89,99.3,96.8,98.2,56.53,62.7,120.76,103.79,87.45,83.3,6.0,0.86,31.29,1.49,0.51,63.6,0.938,91.0,takeoff,elite,Hold this form.,3
SES_SPR_ELI_0008,athlete_61,1050,sprint,42.65,41.53,82.68,84.02,84.75,73.11,83.15,79.69,66.27,68.65,11.74,3.43,35.85,2.18,0.64,0,0.887,99.6,setup,elite,Hold this form.,35
SES_SNA_POO_0007,athlete_11,916,snatch,130.13,130.48,136.48,147.61,74.49,68.19,128.27,134.56,74.27,73.35,46.74,2.14,29.83,1.47,0.37,0,0.695,44.1,takeoff,poor,Work on symmetry.,30
SES_JAV_AVE_0014,athlete_52,1680,javelin,123.52,140.74,176.04,158.83,131.13,153.48,128.85,145.4,75.86,88.47,36.05,0,29.45,0.4,0.41,0,0.614,67.2,setup,average,Lower your hips.,56
SES_VER_ELI_0000,athlete_70,62,vertical_jump,90.55,92.11,90.63,89.71,62.61,60.98,121.4,142.74,86.27,82.65,20.02,0.25,28.33,2.73,0.46,77.0,0.952,90.5,setup,elite,Hold this form.,2
SES_CRI_POO_0019,athlete_62,2360,cricket_bat,160.94,168.51,163.11,162.14,137.04,129.97,168.29,173.68,94.32,83.28,49.76,1.68,42.82,-3.36,0.41,0,0.604,32.7,takeoff,poor,Work on symmetry.,78
SES_SPR_AVE_0010,athlete_67,1263,sprint,67.5,67.83,111.93,125.59,95.95,109.02,125.51,111.79,91.2,76.58,19.92,1.85,28.51,1.34,0.4,0,0.762,64.8,setup,average,Lower your hips.,42
SES_CRI_GOO_0017,athlete_65,2141,cricket_bat,124.28,121.5,142.49,154.68,90.48,97.21,156.57,150.86,86.79,84.56,23.56,1.17,24.6,4.25,0.43,0,0.748,81.9,descent,good,"Good depth, push harder through the heels.",71
SES_SPR_AVE_0010,athlete_04,1250,sprint,69.15,73.52,106.28,116.79,86.2,93.83,97.83,115.02,78.1,83.29,38.1,2.26,17.05,4.37,0.56,0,0.751,65.3,takeoff,average,Lower your hips.,41
SES_JAV_POO_0015,athlete_10,1805,javelin,160.0,155.28,172.53,163.0,126.48,136.49,146.25,152.2,85.47,68.11,57.46,3.18,27.74,-0.11,0.37,0,0.575,54.5,setup,poor,LOWER HIPS!,60
SES_SPR_GOO_0009,athlete_49,1112,sprint,64.17,56.99,100.21,104.96,83.06,89.42,84.27,103.08,81.53,79.43,10.86,1.23,33.46,-2.28,0.42,0,0.802,78.2,setup,good,Extend hips fully.,37
SES_JAV_ELI_0012,athlete_68,1546,javelin,120.04,107.02,136.9,148.23,172.3,158.02,129.74,129.67,90.67,84.08,31.89,2.6,37.36,-1.48,0.52,0,0.723,95.9,takeoff,elite,Great form! Maintain position.,51
SES_SNA_ELI_0004,athlete_35,569,snatch,89.36,94.89,95.67,94.2,34.16,47.17,177.05,178.99,92.16,88.73,20.19,3.24,49.53,0.28,0.53,0,0.927,97.4,landing,elite,Elite biomechanics detected.,18
SES_VER_AVE_0002,athlete_23,266,vertical_jump,104.67,108.27,108.68,119.78,76.98,81.89,149.33,130.65,74.3,72.41,26.76,1.55,37.69,-0.28,0.5,39.9,0.759,62.2,landing,average,Lower your hips.,8
SES_VER_ELI_0000,athlete_49,57,vertical_jump,95.41,99.54,87.44,95.57,68.3,54.01,117.78,114.36,89.83,84.23,14.05,4.68,33.72,-0.49,0.5,65.6,0.919,93.9,landing,elite,Elite biomechanics detected.,1
SES_VER_AVE_0002,athlete_13,339,vertical_jump,109.14,119.79,116.31,121.15,83.26,76.38,132.12,136.66,81.01,75.22,23.1,1.86,26.22,-0.99,0.57,41.1,0.758,65.3,descent,average,Lower your hips.,11
SES_SNA_POO_0007,athlete_43,950,snatch,130.42,127.0,139.48,135.83,74.46,85.16,152.32,149.25,59.45,65.99,39.77,3.11,12.22,5.96,0.37,0,0.704,33.3,flight,poor,LOWER HIPS!,31
SES_CRI_GOO_0017,athlete_65,2153,cricket_bat,121.82,138.93,151.51,146.25,100.48,102.11,163.95,152.33,89.21,83.86,28.38,1.17,24.6,4.25,0.43,0,0.727,83.2,flight,good,"Good depth, push harder through the heels.",71
SES_SNA_POO_0007,athlete_79,877,snatch,137.19,128.67,134.37,144.84,81.16,94.09,165.0,155.37,76.67,76.95,40.58,1.83,32.0,4.97,0.38,0,0.678,43.0,descent,poor,Critical form deviation.,29
SES_VER_AVE_0002,athlete_13,347,vertical_jump,112.27,110.39,129.58,113.09,77.11,93.42,142.12,146.66,67.7,77.91,23.47,1.86,26.22,-0.99,0.57,41.1,0.757,65.3,takeoff,average,Lower your hips.,11
SES_SPR_ELI_0008,athlete_61,1071,sprint,43.82,51.61,91.03,100.03,81.95,72.4,85.01,93.48,71.13,65.77,16.9,3.43,35.85,2.18,0.64,0,0.817,98.4,takeoff,elite,Hold this form.,35
SES_VER_ELI_0000,athlete_49,55,vertical_jump,87.74,90.47,93.23,95.57,63.88,60.59,127.78,114.36,89.83,90.18,14.05,4.68,33.72,-0.49,0.5,65.6,0.943,93.6,landing,elite,Elite biomechanics detected.,1
SES_SNA_GOO_0005,athlete_43,607,snatch,103.06,93.74,117.9,109.01,49.44,47.34,175.23,171.02,83.51,90.5,29.66,0,19.66,0.14,0.6,0,0.85,79.5,descent,good,Extend hips fully.,20
SES_SNA_GOO_0005,athlete_29,718,snatch,94.98,90.3,103.78,111.02,51.18,49.46,176.88,174.77,77.4,83.3,36.58,5.61,24.9,1.64,0.48,0,0.864,88.2,landing,good,Extend hips fully.,23
SES_JAV_ELI_0012,athlete_68,1535,javelin,108.64,108.14,148.22,143.37,166.79,170.9,139.84,141.93,83.02,84.07,42.03,2.6,37.36,-1.48,0.52,0,0.769,94.0,setup,elite,Great form! Maintain position.,51
SES_JAV_AVE_0014,athlete_60,1713,javelin,133.86,134.23,172.23,154.95,136.24,144.9,145.33,163.71,92.68,86.03,47.29,3.8,21.97,3.08,0.59,0,0.649,68.0,setup,average,Activate core more.,57
SES_VER_ELI_0000,athlete_21,6,vertical_jump,88.52,90.59,95.47,100.35,71.93,56.59,128.71,116.47,89.41,89.31,17.42,3.75,40.25,2.33,0.48,49.9,0.938,90.9,descent,elite,Great form! Maintain position.,0
SES_CRI_POO_0019,athlete_48,2382,cricket_bat,158.79,161.83,171.27,169.19,142.45,132.8,174.94,174.46,73.11,74.53,42.93,2.94,17.15,5.67,0.57,0,0.611,50.3,descent,poor,Critical form deviation.,79
SES_CRI_AVE_0018,athlete_72,2254,cricket_bat,135.74,141.86,157.94,172.8,130.29,113.11,176.05,163.01,99.67,87.94,28.9,1.09,28.62,1.85,0.4,0,0.678,60.6,setup,average,Control trunk lean.,75
SES_VER_AVE_0002,athlete_48,297,vertical_jump,117.76,108.67,114.97,115.08,77.55,72.71,120.83,140.18,75.6,75.73,25.05,2.17,34.4,4.18,0.43,27.5,0.777,63.0,landing,average,Lower your hips.,9
SES_VER_GOO_0001,athlete_52,156,vertical_jump,91.14,99.05,99.35,105.78,70.91,69.62,126.64,130.85,81.68,85.74,22.09,4.13,17.4,-1.83,0.55,44.6,0.835,81.2,descent,good,Extend hips fully.,5
SES_CRI_POO_0019,athlete_48,2386,cricket_bat,161.1,161.57,171.27,166.12,139.17,122.8,180,174.46,85.41,69.32,48.93,2.94,17.15,5.67,0.57,0,0.61,50.1,takeoff,poor,Critical form deviation.,79
SES_SPR_POO_0011,athlete_55,1369,sprint,94.48,84.66,135.53,138.8,113.37,101.76,126.6,115.48,85.63,86.0,45.24,1.53,22.2,7.52,0.52,0,0.682,30.0,descent,poor,LOWER HIPS!,45
SES_SPR_ELI_0008,athlete_23,1044,sprint,46.29,49.9,91.87,88.5,71.06,73.82,89.18,78.83,68.53,80.04,19.7,0.7,42.08,0.04,0.55,0,0.866,92.6,takeoff,elite,Hold this form.,34
SES_VER_POO_0003,athlete_50,468,vertical_jump,134.19,137.62,144.45,141.07,82.52,76.8,160.47,141.2,64.5,73.78,44.26,0.96,34.75,4.16,0.45,15.6,0.685,35.1,flight,poor,Work on symmetry.,15
SES_CRI_AVE_0018,athlete_15,2193,cricket_bat,138.21,143.45,153.99,169.5,108.36,117.63,161.75,173.98,79.76,76.25,41.48,0.11,23.44,0.01,0.47,0,0.678,67.6,setup,average,Activate core more.,73
SES_SPR_GOO_0009,athlete_27,1085,sprint,59.02,55.21,107.63,101.75,91.4,83.68,104.99,97.18,74.71,75.18,13.45,1.98,26.91,2.91,0.54,0,0.814,81.4,setup,good,Slight asymmetry detected.,36
SES_SNA_GOO_0005,athlete_28,686,snatch,90.03,97.23,108.06,106.75,54.17,43.1,168.75,178.12,73.08,83.03,22.4,1.08,29.28,4.84,0.57,0,0.872,84.7,landing,good,"Good depth, push harder through the heels.",22
SES_SPR_AVE_0010,athlete_04,1242,sprint,68.7,64.11,121.04,113.4,95.79,94.9,106.97,110.4,89.06,86.72,16.67,2.26,17.05,4.37,0.56,0,0.761,66.4,descent,average,Lower your hips.,41
SES_VER_GOO_0001,athlete_79,222,vertical_jump,98.33,111.72,106.61,102.69,71.49,74.36,130.21,126.72,94.28,87.15,23.35,1.96,23.98,1.93,0.46,37.9,0.828,79.3,takeoff,good,Slight asymmetry detected.,7
SES_CRI_POO_0019,athlete_62,2353,cricket_bat,168.93,167.21,162.02,157.14,122.04,113.44,172.02,165.59,87.45,77.65,57.18,1.68,42.82,-3.36,0.41,0,0.608,32.6,descent,poor,Work on symmetry.,78
SES_JAV_POO_0015,athlete_28,1841,javelin,154.91,145.46,173.33,163.0,125.58,133.82,153.44,152.62,72.59,72.32,66.4,1.63,30.33,3.74,0.48,0,0.564,31.2,descent,poor,LOWER HIPS!,61
SES_VER_POO_0003,athlete_41,397,vertical_jump,124.85,123.5,130.24,147.57,98.14,92.43,142.24,145.53,68.61,64.38,33.52,1.08,32.9,5.5,0.59,9.6,0.657,49.4,descent,poor,Critical form deviation.,13
SES_SNA_ELI_0004,athlete_14,580,snatch,86.98,78.81,99.24,100.64,44.56,45.55,180,178.62,93.44,85.96,18.25,1.28,40.29,3.03,0.44,0,0.918,94.7,descent,elite,Great form! Maintain position.,19
SES_CRI_GOO_0017,athlete_65,2143,cricket_bat,131.64,128.98,143.52,145.44,100.48,94.66,146.57,155.31,85.23,92.88,23.56,1.17,24.6,4.25,0.43,0,0.77,82.5,descent,good,"Good depth, push harder through the heels.",71
SES_VER_GOO_0001,athlete_52,158,vertical_jump,91.14,99.05,99.35,115.78,72.73,67.79,122.95,120.85,81.68,92.77,20.42,4.13,17.4,-1.83,0.55,44.6,0.804,81.3,descent,good,Extend hips fully.,5
SES_VER_ELI_0000,athlete_70,82,vertical_jump,91.97,89.18,99.63,97.41,65.77,62.25,130.41,118.52,79.79,84.93,14.61,0.25,28.33,2.73,0.46,77.0,0.944,92.5,flight,elite,Hold this form.,2
SES_VER_ELI_0000,athlete_49,44,vertical_jump,93.36,98.49,100.91,93.33,56.34,58.34,138.55,130.6,87.31,84.7,15.99,4.68,33.72,-0.49,0.5,65.6,0.921,93.7,takeoff,elite,Elite biomechanics detected.,1
SES_VER_AVE_0002,athlete_48,296,vertical_jump,112.76,108.95,109.97,120.08,73.27,77.71,125.83,135.18,80.6,80.73,20.05,2.17,34.4,4.18,0.43,27.5,0.762,63.1,landing,average,Lower your hips.,9
SES_JAV_ELI_0012,athlete_68,1552,javelin,110.8,97.02,143.23,140.83,172.62,162.69,122.02,133.09,100.25,88.62,29.27,2.6,37.36,-1.48,0.52,0,0.738,96.4,takeoff,elite,Great form! Maintain position.,51
SES_SPR_POO_0011,athlete_75,1336,sprint,89.62,82.68,142.2,132.71,113.87,99.79,132.14,115.29,95.68,93.85,41.02,5.1,21.29,-1.57,0.41,0,0.677,45.4,descent,poor,Work on symmetry.,44
SES_JAV_ELI_0012,athlete_49,1462,javelin,108.3,104.69,154.16,148.86,169.68,160.11,131.35,128.45,76.22,83.89,45.93,1.47,27.08,1.79,0.39,0,0.76,95.3,takeoff,elite,Great form! Maintain position.,48
SES_SPR_AVE_0010,athlete_49,1302,sprint,73.78,73.92,117.79,113.41,99.79,86.17,106.06,115.16,80.21,85.08,20.99,0.95,27.31,6.44,0.43,0,0.788,69.5,descent,average,Control trunk lean.,43
SES_JAV_AVE_0014,athlete_66,1788,javelin,141.71,130.8,171.96,168.44,140.64,137.6,145.76,149.52,83.19,78.8,50.18,1.12,29.98,1.94,0.39,0,0.651,57.3,takeoff,average,Control trunk lean.,59
SES_CRI_GOO_0017,athlete_65,2142,cricket_bat,126.64,123.98,138.52,149.68,95.48,99.66,151.57,150.31,90.23,87.88,18.56,1.17,24.6,4.25,0.43,0,0.75,82.1,descent,good,"Good depth, push harder through the heels.",71
SES_SPR_AVE_0010,athlete_04,1240,sprint,68.7,70.57,125.68,110.96,85.79,99.94,116.97,110.4,94.28,86.72,26.67,2.26,17.05,4.37,0.56,0,0.757,65.9,descent,average,Lower your hips.,41
SES_VER_ELI_0000,athlete_70,85,vertical_jump,96.28,87.83,103.18,94.44,60.77,65.62,125.96,123.52,89.68,80.27,18.37,0.25,28.33,2.73,0.46,77.0,0.908,91.9,landing,elite,Hold this form.,2
SES_VER_ELI_0000,athlete_21,8,vertical_jump,91.09,95.46,101.36,99.41,65.56,55.78,118.71,119.97,89.41,89.31,17.42,3.75,40.25,2.33,0.48,49.9,0.94,90.7,descent,elite,Great form! Maintain position.,0
SES_VER_POO_0003,athlete_61,384,vertical_jump,126.31,145.7,144.28,132.24,88.92,84.02,133.68,138.5,54.97,72.52,31.82,0.87,26.15,-1.22,0.45,17.9,0.629,38.8,landing,poor,Critical form deviation.,12
SES_VER_GOO_0001,athlete_56,202,vertical_jump,97.56,100.13,102.59,113.97,69.82,78.51,126.07,131.98,81.2,82.55,17.18,0.17,23.46,3.3,0.55,44.2,0.839,81.4,flight,good,"Good depth, push harder through the heels.",6
SES_CRI_AVE_0018,athlete_33,2229,cricket_bat,147.09,156.6,156.08,155.1,97.09,114.53,165.0,162.33,91.49,79.77,37.41,0.2,16.78,4.95,0.41,0,0.699,62.4,descent,average,Activate core more.,74
SES_SNA_POO_0007,athlete_11,927,snatch,118.9,122.94,143.53,147.71,84.37,83.19,143.27,133.06,78.83,74.27,45.99,2.14,29.83,1.47,0.37,0,0.701,43.8,landing,poor,Work on symmetry.,30
SES_SNA_ELI_0004,athlete_14,571,snatch,79.64,84.03,94.05,109.39,46.29,44.09,176.18,177.74,83.45,98.24,25.32,1.28,40.29,3.03,0.44,0,0.885,94.3,setup,elite,Great form! Maintain position.,19
SES_VER_ELI_0000,athlete_49,49,vertical_jump,92.72,95.34,87.62,95.75,72.71,56.35,138.58,124.81,84.59,88.09,10.99,4.68,33.72,-0.49,0.5,65.6,0.924,93.8,flight,elite,Elite biomechanics detected.,1
SES_SPR_GOO_0009,athlete_27,1081,sprint,49.02,60.3,110.47,105.51,95.2,85.26,119.65,101.98,64.84,78.79,21.18,1.98,26.91,2.91,0.54,0,0.767,81.1,setup,good,Slight asymmetry detected.,36
SES_CRI_ELI_0016,athlete_64,2008,cricket_bat,126.95,115.31,146.99,135.88,80.71,79.88,135.62,138.52,94.84,88.75,19.31,2.29,48.83,2.19,0.45,0,0.77,98.8,flight,elite,Hold this form.,66
SES_SPR_ELI_0008,athlete_41,1006,sprint,49.1,46.21,91.12,92.39,62.34,75.25,84.48,90.01,65.17,72.63,22.87,1.95,22.47,7.38,0.51,0,0.878,93.2,descent,elite,Great form! Maintain position.,33
SES_SNA_ELI_0004,athlete_14,591,snatch,87.02,94.39,95.77,96.14,44.37,40.26,179.69,175.43,86.17,94.35,18.67,1.28,40.29,3.03,0.44,0,0.923,95.3,flight,elite,Great form! Maintain position.,19
